short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
Jorge Pombo,26,177,76,Spain,Cádiz CF,Spain Primera Division,69,72,1300000,14000,"ST, LM, CAM",Right,1,3,3,Medium/Medium,Stocky,No,3000000.0,NoTag,SUB,11.0,,2020-08-04,2023.0,,,69.0,70.0,68.0,71.0,57.0,82.0,Long Shot Taker (AI),66,68,61,69,64,72,66,69,67,70,69,69,65,64,82,75,66,82,85,70,76,52,70,71,67,74,,58,57,12,13,8,8,10,69+2,69+2,69+2,69+0,69+0,69+0,69+0,69+0,69+2,69+2,69+2,70+2,68+2,68+2,68+2,70+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,63+2
A. Reca,25,187,81,Poland,Atalanta,Italian Serie A,69,72,1300000,21000,"LM, LB",Left,1,3,3,Medium/Medium,Lean,No,2300000.0,NoTag,RES,44.0,,2018-07-01,2022.0,,,78.0,57.0,63.0,69.0,62.0,65.0,"Long Throw-in, Flair, Speed Dribbler (AI)",67,56,62,64,48,72,51,45,60,70,79,78,63,58,52,60,83,67,67,54,55,60,70,67,62,62,,64,62,8,12,13,10,10,64+2,64+2,64+2,67+0,66+0,66+0,66+0,67+0,66+2,66+2,66+2,68+2,65+2,65+2,65+2,68+2,65+2,63+2,63+2,63+2,65+2,65+2,63+2,63+2,63+2,65+2
M. Ricci,26,176,68,Italy,Spezia,Italian Serie A,69,71,1200000,18000,CM,Right,1,3,3,Medium/Medium,Lean,No,2300000.0,NoTag,CM,8.0,,2018-07-31,2021.0,,,72.0,59.0,67.0,69.0,54.0,62.0,"Long Passer (AI), Playmaker (AI)",59,50,39,72,42,67,54,55,70,68,75,70,79,68,84,70,56,76,52,66,71,55,72,70,64,65,,63,50,15,8,15,9,8,62+2,62+2,62+2,67+0,67+0,67+0,67+0,67+0,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,63+2,64+2,64+2,64+2,63+2,61+2,57+2,57+2,57+2,61+2
R. Insigne,26,172,65,Italy,Benevento,Italian Serie A,69,71,1300000,9000,"CF, RM, RW",Left,1,2,3,High/Low,Lean,No,2400000.0,NoTag,SUB,19.0,,2019-07-01,2021.0,,,82.0,63.0,71.0,73.0,27.0,39.0,,71,64,66,72,63,72,66,67,70,71,80,84,81,65,81,59,51,57,34,64,28,18,67,70,59,69,,23,22,9,9,13,9,12,66+2,66+2,66+2,71+0,69+0,69+0,69+0,71+0,71+0,71+0,71+0,71+0,64+2,64+2,64+2,71+0,52+2,47+2,47+2,47+2,52+2,49+2,37+2,37+2,37+2,49+2
R. Improta,26,179,73,Italy,Benevento,Italian Serie A,69,70,1200000,9000,"LM, LW",Right,1,3,3,High/High,Lean,No,2300000.0,Acrobat,SUB,16.0,,2018-07-01,2022.0,,,81.0,59.0,62.0,73.0,22.0,47.0,"Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",65,70,43,70,53,72,61,30,64,70,80,82,90,65,80,47,48,56,51,46,25,35,66,53,49,66,,15,15,11,8,7,14,12,63+2,63+2,63+2,69+0,66+0,66+0,66+0,69+0,67+2,67+2,67+2,68+2,60+2,60+2,60+2,68+2,50+2,46+2,46+2,46+2,50+2,46+2,35+2,35+2,35+2,46+2
T. Touré,26,175,72,Ivory Coast,Angers SCO,French Ligue 1,69,70,1200000,11000,"LM, ST, RM",Right,1,3,3,High/Low,Normal,No,2500000.0,NoTag,RES,32.0,,2017-08-31,2021.0,,,75.0,64.0,67.0,71.0,43.0,65.0,"Flair, Speed Dribbler (AI)",68,62,67,69,68,72,74,64,63,69,77,74,75,61,73,64,75,66,65,66,63,45,63,65,64,68,,42,35,10,14,9,12,8,66+2,66+2,66+2,68+0,67+0,67+0,67+0,68+0,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,58+2,56+2,56+2,56+2,58+2,56+2,52+2,52+2,52+2,56+2
G. Robail,26,182,73,France,Racing Club de Lens,French Ligue 1,69,70,1200000,17000,"LM, LW",Right,1,4,3,High/Medium,Lean,No,2500000.0,NoTag,SUB,9.0,,2019-07-01,2023.0,,,71.0,64.0,71.0,71.0,46.0,58.0,,64,68,53,80,57,71,64,66,73,72,69,73,71,61,70,68,57,57,62,54,49,33,57,63,57,69,,55,58,13,12,6,13,14,65+2,65+2,65+2,68+0,67+0,67+0,67+0,68+0,69+1,69+1,69+1,68+2,66+2,66+2,66+2,68+2,60+2,59+2,59+2,59+2,60+2,58+2,53+2,53+2,53+2,58+2
M. Scozzarella,32,175,66,Italy,Parma,Italian Serie A,69,69,800000,14000,"CM, CDM",Right,1,3,3,Medium/Medium,Lean,No,1400000.0,NoTag,SUB,5.0,,2017-01-08,2021.0,,,78.0,61.0,72.0,72.0,55.0,60.0,Long Passer (AI),76,59,49,71,67,68,73,71,70,73,79,78,88,66,83,54,58,71,49,69,72,66,65,73,70,69,,49,46,7,9,8,12,10,63+2,63+2,63+2,71+,68+0,68+0,68+0,71+,70+,70+,70+,71+,69+0,69+0,69+0,71+,66+2,64+2,64+2,64+2,66+2,64+2,58+2,58+2,58+2,64+2
L. Vitale,32,180,71,Italy,Hellas Verona,Italian Serie A,69,69,825000,12000,"LM, LB",Left,1,2,3,Medium/Medium,Lean,No,1500000.0,NoTag,RES,87.0,,2019-02-01,2021.0,,,77.0,61.0,69.0,68.0,62.0,67.0,,76,52,58,68,66,64,70,70,65,70,79,76,79,63,85,71,80,79,64,70,54,63,62,68,67,67,,60,65,13,7,13,10,14,64+2,64+2,64+2,68+0,66+0,66+0,66+0,68+0,67+2,67+2,67+2,68+1,67+2,67+2,67+2,68+1,69+0,65+2,65+2,65+2,69+0,68+1,63+2,63+2,63+2,68+1
H. Lansbury,29,183,85,England,Aston Villa,English Premier League,69,69,1000000,25000,"CM, CDM",Right,1,3,3,Medium/Medium,Normal,Yes,1900000.0,NoTag,RES,8.0,,2017-01-20,2021.0,,,53.0,68.0,70.0,69.0,59.0,70.0,"Injury Prone, Long Shot Taker (AI)",66,66,47,71,57,67,69,70,72,72,55,52,69,66,64,70,63,52,75,70,81,67,70,72,71,71,,60,62,11,16,15,14,13,65+2,65+2,65+2,67+0,67+0,67+0,67+0,67+0,69+0,69+0,69+0,66+2,69+0,69+0,69+0,66+2,63+2,67+2,67+2,67+2,63+2,61+2,63+2,63+2,63+2,61+2
K. Laribi,29,175,67,Tunisia,Hellas Verona,Italian Serie A,69,69,1000000,13000,"CM, CF, CAM",Right,1,4,4,High/Medium,Normal,No,1800000.0,NoTag,SUB,44.0,,2018-07-31,2021.0,,,81.0,68.0,70.0,75.0,47.0,59.0,"Finesse Shot, Technical Dribbler (AI)",66,68,50,74,65,73,66,71,65,74,82,80,82,72,84,69,63,75,56,68,45,44,72,70,70,72,,52,48,7,12,14,10,14,69+0,69+0,69+0,73+,72+,72+,72+,73+,73+,73+,73+,73+,69+0,69+0,69+0,73+,63+2,60+2,60+2,60+2,63+2,61+2,53+2,53+2,53+2,61+2
Alberto Perea,29,177,74,Spain,Cádiz CF,Spain Primera Division,69,69,1000000,14000,LM,Right,1,3,3,Medium/Medium,Lean,No,2200000.0,NoTag,SUB,10.0,,2017-07-17,2023.0,,,74.0,66.0,64.0,72.0,31.0,59.0,Injury Prone,64,64,52,62,60,71,69,75,65,73,74,74,75,66,71,66,73,63,58,75,52,23,68,62,47,67,,29,17,13,9,8,6,6,66+2,66+2,66+2,69+0,68+0,68+0,68+0,69+0,68+1,68+1,68+1,68+1,62+2,62+2,62+2,68+1,51+2,49+2,49+2,49+2,51+2,48+2,42+2,42+2,42+2,48+2
M. Bourabia,28,183,73,Morocco,Sassuolo,Italian Serie A,69,69,1000000,15000,"CM, CDM, CAM",Right,1,3,3,Medium/Medium,Normal,No,1700000.0,NoTag,SUB,68.0,,2018-07-20,2021.0,,,59.0,61.0,69.0,71.0,63.0,60.0,"Long Passer (AI), Long Shot Taker (AI)",58,53,58,77,57,72,53,72,75,72,61,57,66,70,60,72,50,66,59,71,58,58,60,63,54,68,,67,62,9,8,9,11,8,64+2,64+2,64+2,66+0,66+0,66+0,66+0,66+0,68+1,68+1,68+1,66+2,69+0,69+0,69+0,66+2,65+2,67+2,67+2,67+2,65+2,64+2,63+2,63+2,63+2,64+2
A. Gogia,28,178,73,Germany,1. FC Union Berlin,German 1. Bundesliga,69,69,1100000,15000,"RW, RM, LW",Right,1,4,4,Medium/Medium,Normal,No,2000000.0,NoTag,SUB,7.0,,2017-07-02,2021.0,,,71.0,67.0,65.0,75.0,28.0,60.0,"Flair, Technical Dribbler (AI)",65,65,41,67,67,75,76,65,56,73,75,68,84,65,86,70,70,73,58,68,45,28,66,63,60,66,,22,23,10,9,12,11,16,65+2,65+2,65+2,69+0,68+0,68+0,68+0,69+0,68+1,68+1,68+1,69+0,62+2,62+2,62+2,69+0,53+2,49+2,49+2,49+2,53+2,48+2,40+2,40+2,40+2,48+2
B. Behrendt,28,187,85,Germany,DSC Arminia Bielefeld,German 1. Bundesliga,69,69,925000,11000,"CB, CDM",Right,1,3,2,Medium/Medium,Normal,No,1700000.0,NoTag,SUB,3.0,,2015-07-15,2021.0,,,62.0,53.0,56.0,44.0,69.0,73.0,"Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI)",43,34,68,66,34,33,36,42,71,51,55,68,59,66,60,84,74,62,78,71,76,69,42,49,54,62,,69,72,9,7,15,14,15,55+2,55+2,55+2,50+0,52+0,52+0,52+0,50+0,53+2,53+2,53+2,51+2,58+2,58+2,58+2,51+2,61+2,66+2,66+2,66+2,61+2,64+2,69+0,69+0,69+0,64+2
F. Malbašić,27,182,79,Serbia,Cádiz CF,Spain Primera Division,69,69,1100000,14000,"ST, RM, LM",Right,1,4,3,Medium/Medium,Normal,No,2400000.0,NoTag,RES,24.0,,2020-08-04,2023.0,,,84.0,69.0,65.0,71.0,35.0,66.0,Technical Dribbler (AI),69,70,51,66,59,71,70,64,49,70,79,88,78,70,69,72,68,68,72,66,50,25,68,72,65,75,,23,24,6,7,12,10,16,69+0,69+0,69+0,71+,71+,71+,71+,71+,70+,70+,70+,70+,62+2,62+2,62+2,70+,55+2,51+2,51+2,51+2,55+2,52+2,46+2,46+2,46+2,52+2
J. Marié,28,177,73,France,Dijon FCO,French Ligue 1,69,69,1000000,8000,"CM, CDM",Right,1,3,3,Medium/Medium,Normal,No,2000000.0,NoTag,RCM,14.0,,2013-02-14,2022.0,,,51.0,55.0,66.0,71.0,65.0,66.0,Team Player,61,48,47,71,39,71,61,37,68,72,59,45,69,71,64,68,64,74,63,67,65,68,63,68,33,71,,70,68,15,16,7,7,11,60+2,60+2,60+2,64+0,65+0,65+0,65+0,64+0,67+2,67+2,67+2,66+2,69+0,69+0,69+0,66+2,67+2,69+0,69+0,69+0,67+2,66+2,65+2,65+2,65+2,66+2
M. Perez,29,180,73,France,Racing Club de Lens,French Ligue 1,69,69,900000,17000,"CDM, CM",Right,1,3,3,Medium/Medium,Lean,No,1800000.0,NoTag,SUB,6.0,,2019-07-01,2021.0,,,70.0,52.0,65.0,67.0,64.0,72.0,,46,48,56,71,47,64,69,73,67,66,62,77,77,66,75,59,62,74,73,52,69,68,60,68,58,65,,67,59,7,7,8,7,13,60+2,60+2,60+2,62+0,63+0,63+0,63+0,62+0,65+2,65+2,65+2,64+2,66+2,66+2,66+2,64+2,65+2,68+1,68+1,68+1,65+2,64+2,66+2,66+2,66+2,64+2
F. Bradarić,28,185,77,Croatia,Cagliari,Italian Serie A,69,69,1000000,15000,"CM, CDM",Right,1,3,2,Low/Medium,Lean,No,1800000.0,NoTag,SUB,16.0,,2018-08-07,2023.0,,,57.0,53.0,69.0,66.0,68.0,65.0,,60,45,64,77,59,61,61,40,75,75,62,53,61,62,67,62,67,67,65,63,64,64,43,71,44,66,,75,72,7,8,10,11,9,58+2,58+2,58+2,61+0,61+0,61+0,61+0,61+0,65+2,65+2,65+2,63+2,69+0,69+0,69+0,63+2,67+2,70+,70+,70+,67+2,67+2,68+1,68+1,68+1,67+2
F. Wirtz,17,175,68,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,68,88,1800000,3000,"CAM, RM",Right,1,4,3,Medium/Medium,Lean,No,4900000.0,NoTag,SUB,27.0,,2020-01-31,2022.0,,,74.0,64.0,64.0,75.0,44.0,50.0,,59,66,43,67,59,74,61,52,64,76,72,76,84,57,76,62,51,49,50,63,51,37,58,65,60,57,,44,47,14,14,13,6,10,63+2,63+2,63+2,68+0,67+0,67+0,67+0,68+0,68+2,68+2,68+2,67+2,63+2,63+2,63+2,67+2,56+2,55+2,55+2,55+2,56+2,54+2,49+2,49+2,49+2,54+2
G. Reyna,17,185,79,United States,Borussia Dortmund,German 1. Bundesliga,68,87,1800000,2000,"LM, CAM",Right,1,2,4,Medium/Medium,Normal,No,4200000.0,NoTag,SUB,32.0,,2019-12-07,2021.0,,,77.0,59.0,64.0,76.0,29.0,52.0,Technical Dribbler (AI),54,59,42,73,59,77,74,64,50,75,78,76,84,61,80,62,60,53,54,58,43,31,56,65,50,59,,23,24,10,13,14,12,7,62+2,62+2,62+2,68+0,67+0,67+0,67+0,68+0,68+2,68+2,68+2,67+2,61+2,61+2,61+2,67+2,51+2,48+2,48+2,48+2,51+2,47+2,40+2,40+2,40+2,47+2
Sergio Gómez,19,171,68,Spain,SD Huesca,Spain Primera Division,68,84,1900000,5000,"RM, LM",Left,1,3,3,Medium/Medium,Lean,No,,NoTag,SUB,10.0,Borussia Dortmund,,2021.0,,,70.0,63.0,69.0,74.0,42.0,39.0,"Flair, Playmaker (AI)",66,64,43,75,64,74,74,68,68,71,73,68,82,56,84,66,52,49,32,62,39,28,54,60,60,58,,37,38,11,7,9,11,10,61+2,61+2,61+2,67+0,65+0,65+0,65+0,67+0,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,55+2,52+2,52+2,52+2,55+2,52+2,44+2,44+2,44+2,52+2
J. Zirkzee,19,193,84,Netherlands,FC Bayern München,German 1. Bundesliga,68,84,1900000,15000,"ST, CAM, CF",Right,1,3,3,Medium/Low,Normal,No,4300000.0,NoTag,SUB,14.0,,2019-09-21,2023.0,,,71.0,64.0,49.0,69.0,18.0,66.0,,35,71,67,59,54,70,61,61,33,69,73,69,67,63,60,67,66,63,77,52,43,14,69,53,50,51,,14,16,6,11,12,8,14,68+2,68+2,68+2,64+0,66+0,66+0,66+0,64+0,63+2,63+2,63+2,61+2,54+2,54+2,54+2,61+2,42+2,39+2,39+2,39+2,42+2,40+2,37+2,37+2,37+2,40+2
M. Svanberg,21,185,77,Sweden,Bologna,Italian Serie A,68,82,1900000,9000,"CM, RM",Right,1,3,3,Medium/Medium,Normal,No,4600000.0,NoTag,SUB,32.0,,2018-07-05,2023.0,,,77.0,65.0,69.0,73.0,52.0,66.0,Technical Dribbler (AI),68,64,32,72,53,73,66,63,68,76,76,77,76,63,67,71,63,68,66,70,65,60,58,70,57,67,,55,52,7,6,13,8,12,64+2,64+2,64+2,70+0,69+0,69+0,69+0,70+0,70+2,70+2,70+2,70+2,68+2,68+2,68+2,70+2,65+2,64+2,64+2,64+2,65+2,62+2,57+2,57+2,57+2,62+2
T. Weah,20,183,66,United States,LOSC Lille,French Ligue 1,68,82,2000000,11000,"ST, LM",Right,1,3,3,High/Medium,Lean,Yes,5100000.0,NoTag,SUB,22.0,,2019-06-29,2024.0,,,84.0,68.0,59.0,70.0,30.0,59.0,Injury Prone,55,70,67,61,62,70,63,41,55,66,83,85,84,59,69,70,68,57,63,66,48,22,65,64,60,66,,26,24,7,9,12,15,14,68+2,68+2,68+2,68+0,68+0,68+0,68+0,68+0,66+2,66+2,66+2,66+2,58+2,58+2,58+2,66+2,49+2,46+2,46+2,46+2,49+2,47+2,43+2,43+2,43+2,47+2
C. Doucouré,20,180,73,Mali,Racing Club de Lens,French Ligue 1,68,81,1600000,10000,"CDM, CM, CB",Right,1,3,3,High/High,Normal,No,4200000.0,NoTag,RCM,28.0,,2018-07-01,2024.0,,,70.0,42.0,63.0,67.0,65.0,68.0,,51,35,58,72,42,66,44,42,64,68,68,72,76,63,65,59,63,75,70,36,54,65,52,70,46,66,,69,62,10,14,12,12,15,57+2,57+2,57+2,61+0,60+0,60+0,60+0,61+0,63+2,63+2,63+2,63+2,65+2,65+2,65+2,63+2,66+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,65+2,65+2
L. Balerdi,21,187,76,Argentina,Olympique de Marseille,French Ligue 1,68,81,1600000,9000,"CB, CDM",Right,1,2,2,Medium/Medium,Normal,No,,NoTag,SUB,5.0,Borussia Dortmund,,2021.0,,,72.0,30.0,52.0,59.0,68.0,68.0,,36,26,64,68,29,53,35,30,62,64,68,75,66,67,58,45,73,64,74,20,59,67,33,43,40,62,,70,66,6,8,15,15,14,50+2,50+2,50+2,52+0,51+0,51+0,51+0,52+0,53+2,53+2,53+2,55+2,57+2,57+2,57+2,55+2,63+2,66+2,66+2,66+2,63+2,65+2,68+2,68+2,68+2,65+2
Hugo Vallejo,20,181,77,Spain,Real Madrid,Spain Primera Division,68,81,1700000,32000,"LM, RM, ST",Right,1,3,3,Medium/Medium,Normal,No,4500000.0,NoTag,RES,31.0,,2020-01-24,2023.0,,,64.0,65.0,65.0,71.0,36.0,54.0,,68,70,41,67,61,75,63,70,66,72,63,64,60,59,60,60,47,59,61,59,31,29,64,58,59,60,,36,35,13,6,10,13,13,63+2,63+2,63+2,67+0,66+0,66+0,66+0,67+0,66+2,66+2,66+2,67+2,62+2,62+2,62+2,67+2,54+2,51+2,51+2,51+2,54+2,50+2,43+2,43+2,43+2,50+2
Jeong Woo Yeong,20,179,69,Korea Republic,SC Freiburg,German 1. Bundesliga,68,80,1600000,7000,"RM, LM, CAM",Right,1,4,4,Medium/Medium,Lean,No,3200000.0,NoTag,RES,29.0,,2019-07-01,2023.0,,,77.0,54.0,59.0,75.0,35.0,56.0,Technical Dribbler (AI),65,61,51,62,53,73,46,36,52,74,81,73,88,60,84,51,46,64,54,43,51,30,60,60,48,49,,32,36,12,6,9,7,7,61+2,61+2,61+2,67+0,65+0,65+0,65+0,67+0,65+2,65+2,65+2,67+2,59+2,59+2,59+2,67+2,54+2,49+2,49+2,49+2,54+2,51+2,44+2,44+2,44+2,51+2
Hugo Duro,20,180,76,Spain,Real Madrid,Spain Primera Division,68,80,1600000,36000,"ST, LM",Left,1,3,3,Medium/Medium,Normal,No,,NoTag,RES,32.0,Getafe CF,,2021.0,,,73.0,68.0,43.0,70.0,29.0,55.0,Speed Dribbler (AI),31,72,61,54,64,70,38,27,34,73,74,73,64,64,69,67,71,53,63,63,35,22,69,49,56,63,,17,20,8,14,6,14,15,68+2,68+2,68+2,64+0,67+0,67+0,67+0,64+0,63+2,63+2,63+2,61+2,53+2,53+2,53+2,61+2,44+2,42+2,42+2,42+2,44+2,43+2,40+2,40+2,40+2,43+2
S. Alzate,21,180,75,Colombia,Brighton & Hove Albion,English Premier League,68,79,1500000,15000,"CM, RB",Right,1,3,3,Medium/Medium,Lean,Yes,3200000.0,NoTag,LCM,17.0,,2017-07-31,2024.0,,,71.0,57.0,66.0,74.0,53.0,66.0,Flair,65,57,45,73,50,74,61,22,67,71,73,69,78,68,81,60,57,70,68,59,60,52,63,68,35,72,,59,53,9,6,6,7,6,63+2,63+2,63+2,68+0,67+0,67+0,67+0,68+0,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,63+2,63+2,63+2,63+2,63+2,61+2,57+2,57+2,57+2,61+2
S. Kiyine,22,182,75,Morocco,Lazio,Italian Serie A,68,79,1500000,17000,"CM, LM, RM",Right,1,3,4,Medium/Medium,Lean,No,2900000.0,NoTag,RES,51.0,,2019-07-01,2024.0,,,72.0,57.0,65.0,76.0,64.0,59.0,,62,52,62,70,48,78,60,49,67,76,69,75,75,65,69,63,56,71,56,65,54,65,62,64,52,60,,67,66,8,8,12,15,8,64+2,64+2,64+2,68+0,68+0,68+0,68+0,68+0,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,68+2,66+2,66+2,66+2,68+2,67+2,63+2,63+2,63+2,67+2
Nolaskoain,21,186,80,Spain,Athletic Club de Bilbao,Spain Primera Division,68,79,1500000,7000,"CM, CB, CDM",Right,1,3,2,Medium/High,Normal,No,3500000.0,NoTag,SUB,29.0,,2016-07-01,2024.0,,,59.0,58.0,64.0,67.0,69.0,70.0,"Long Passer (AI), Outside Foot Shot",55,63,71,72,48,67,44,45,68,69,60,58,69,65,59,57,72,69,73,53,61,68,62,68,49,70,,70,66,11,11,7,8,14,64+2,64+2,64+2,64+0,65+0,65+0,65+0,64+0,66+2,66+2,66+2,65+2,68+2,68+2,68+2,65+2,66+2,69+2,69+2,69+2,66+2,66+2,69+2,69+2,69+2,66+2
Gonzalo Villar,22,181,74,Spain,Roma,Italian Serie A,68,79,1500000,15000,"CM, CDM",Right,1,3,3,Medium/Medium,Lean,No,2900000.0,NoTag,SUB,14.0,,2020-01-30,2024.0,,,68.0,56.0,69.0,71.0,53.0,63.0,,56,54,45,75,49,69,64,61,72,75,65,70,69,64,71,63,56,75,59,58,61,56,56,71,53,64,,50,52,12,11,13,8,6,61+2,61+2,61+2,66+0,65+0,65+0,65+0,66+0,68+2,68+2,68+2,67+2,68+2,68+2,68+2,67+2,63+2,64+2,64+2,64+2,63+2,61+2,57+2,57+2,57+2,61+2
Antoñín,20,182,71,Spain,Granada CF,Spain Primera Division,68,79,1600000,8000,"ST, LM, RM",Right,1,3,3,Medium/Medium,Lean,No,3700000.0,NoTag,RES,7.0,,2020-02-24,2024.0,,,75.0,69.0,56.0,71.0,23.0,51.0,"Finesse Shot, Speed Dribbler (AI)",52,72,65,66,67,74,42,40,50,69,77,74,73,64,65,67,60,60,52,65,37,17,64,52,64,53,,23,15,13,8,12,11,14,68+2,68+2,68+2,67+0,68+0,68+0,68+0,67+0,66+2,66+2,66+2,65+2,58+2,58+2,58+2,65+2,47+2,43+2,43+2,43+2,47+2,44+2,37+2,37+2,37+2,44+2
F. Passlack,22,170,74,Germany,Borussia Dortmund,German 1. Bundesliga,68,78,1400000,16000,"RM, RB",Right,1,4,3,High/High,Normal,Yes,2700000.0,NoTag,SUB,30.0,,2015-04-22,2021.0,,,73.0,59.0,66.0,72.0,63.0,75.0,Speed Dribbler (AI),68,56,44,70,51,70,69,63,58,71,74,72,75,64,90,70,74,78,71,54,83,59,60,61,66,59,,67,64,10,11,10,16,9,63+2,63+2,63+2,67+0,65+0,65+0,65+0,67+0,66+2,66+2,66+2,67+2,65+2,65+2,65+2,67+2,68+2,67+2,67+2,67+2,68+2,67+2,65+2,65+2,65+2,67+2
L. Fomba,22,188,68,France,Nîmes Olympique,French Ligue 1,68,78,1300000,7000,"CDM, CM",Right,1,2,2,Medium/Medium,Lean,No,2900000.0,NoTag,SUB,12.0,,2019-08-20,2023.0,,,65.0,47.0,60.0,69.0,67.0,72.0,,57,38,67,68,44,67,41,45,63,69,62,68,73,67,75,67,73,76,73,46,66,68,51,57,45,57,,70,68,14,7,14,9,13,59+2,59+2,59+2,61+0,60+0,60+0,60+0,61+0,61+2,61+2,61+2,63+2,64+2,64+2,64+2,63+2,67+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2
P. Dziczek,22,180,75,Poland,Lazio,Italian Serie A,68,77,1300000,15000,CDM,Right,1,2,2,Medium/Medium,Lean,No,2500000.0,NoTag,RES,52.0,,2019-08-23,2024.0,,,63.0,47.0,60.0,65.0,63.0,73.0,Playmaker (AI),43,43,63,69,31,63,40,40,67,66,62,64,68,64,74,47,81,89,66,55,66,68,63,64,42,64,,63,61,10,8,12,11,15,58+2,58+2,58+2,60+0,61+0,61+0,61+0,60+0,63+2,63+2,63+2,62+2,66+2,66+2,66+2,62+2,64+2,67+2,67+2,67+2,64+2,64+2,65+2,65+2,65+2,64+2
Caio Henrique,22,179,70,Brazil,AS Monaco,French Ligue 1,68,77,1200000,14000,"LB, CAM",Left,1,2,3,Medium/Medium,Lean,No,2500000.0,NoTag,SUB,12.0,,2020-08-28,2025.0,,,72.0,54.0,71.0,67.0,63.0,47.0,,60,50,60,78,43,64,73,70,70,69,75,69,72,60,72,60,52,79,33,58,42,68,66,71,48,66,,61,58,11,15,9,6,8,60+2,60+2,60+2,66+0,65+0,65+0,65+0,66+0,68+2,68+2,68+2,67+2,69+2,69+2,69+2,67+2,67+2,66+2,66+2,66+2,67+2,66+2,59+2,59+2,59+2,66+2
S. Diarra,21,173,58,Ivory Coast,FC Lorient,French Ligue 1,68,77,1400000,8000,"RM, RW",Left,1,2,4,Medium/Medium,Lean,No,3100000.0,NoTag,RM,7.0,,2020-07-01,2025.0,,,87.0,56.0,62.0,71.0,42.0,52.0,"Flair, Technical Dribbler (AI)",62,59,31,68,46,70,57,56,61,67,89,86,84,56,86,56,59,74,36,48,61,44,60,57,60,55,,57,55,12,13,14,13,13,59+2,59+2,59+2,67+0,64+0,64+0,64+0,67+0,65+2,65+2,65+2,67+2,62+2,62+2,62+2,67+2,61+2,55+2,55+2,55+2,61+2,58+2,48+2,48+2,48+2,58+2
G. Crociata,22,174,67,Italy,Crotone,Italian Serie A,68,77,1400000,5000,"CAM, CM, CF",Right,1,4,3,Medium/Medium,Lean,No,2800000.0,NoTag,SUB,14.0,,2017-08-02,2021.0,,,73.0,56.0,66.0,72.0,32.0,58.0,,65,50,54,68,62,72,67,63,62,72,74,73,77,68,75,62,60,62,58,60,50,29,67,68,60,59,,29,28,15,10,6,7,9,63+2,63+2,63+2,68+0,67+0,67+0,67+0,68+0,68+2,68+2,68+2,68+2,63+2,63+2,63+2,68+2,53+2,51+2,51+2,51+2,53+2,50+2,43+2,43+2,43+2,50+2
F. Cassata,22,183,76,Italy,Genoa,Italian Serie A,68,77,1400000,6000,CM,Right,1,3,3,Medium/Medium,Lean,No,2800000.0,NoTag,RES,29.0,,2020-09-01,2022.0,,,62.0,48.0,68.0,71.0,54.0,58.0,,62,36,29,74,38,70,52,58,70,75,65,59,65,72,60,55,36,66,48,71,79,47,57,69,40,57,,59,50,10,7,5,7,10,55+2,55+2,55+2,65+0,63+0,63+0,63+0,65+0,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,62+2,64+2,64+2,64+2,62+2,60+2,56+2,56+2,56+2,60+2
